CustomerID,Recency,Frequency,Monetary,CLV,R_Score,F_Score,M_Score,RFM_Segment,KMeans_Cluster,KMeans_Name
12001,1,25,333.26,23994.72,5,5,4,Champions,3,Champions
12002,1,8,65.19,4693.68,5,1,1,Potential Loyalists,0,Potential Loyalists
12003,4,10,154.53,2781.54,5,2,2,Potential Loyalists,0,Potential Loyalists
12004,9,8,71.62,572.96,4,1,1,Potential Loyalists,0,Potential Loyalists
12005,24,7,66.95,200.85,3,1,1,Lost Customers,1,Lost Customers
12006,13,9,90.61,501.84,4,1,1,Potential Loyalists,0,Potential Loyalists
12007,7,10,105.69,1087.1,5,2,2,Potential Loyalists,0,Potential Loyalists
12009,1,34,425.6,30643.2,5,5,5,Champions,3,Champions
12010,12,10,289.63,1737.78,4,2,4,Potential Loyalists,2,Lost Customers
12011,6,8,125.85,1510.2,5,1,2,Potential Loyalists,0,Potential Loyalists
12013,27,10,322.3,859.47,2,2,4,Lost Customers,2,Lost Customers
12016,16,28,297.12,1337.04,3,5,4,Loyal Customers,3,Champions
12018,39,12,171.12,315.91,2,3,3,At Risk,2,Lost Customers
12020,140,6,61.34,31.55,1,1,1,Lost Customers,1,Lost Customers
12021,8,21,172.4,1551.6,4,4,3,Loyal Customers,0,Potential Loyalists
12022,16,11,297.69,1339.61,3,2,4,Big Spenders,2,Lost Customers
12024,47,8,43.54,66.7,2,1,1,Lost Customers,1,Lost Customers
12027,75,11,273.53,262.59,1,2,4,Lost Customers,2,Lost Customers
12028,40,5,48.12,86.62,2,1,1,Lost Customers,1,Lost Customers
12032,20,10,107.64,387.5,3,2,2,Lost Customers,1,Lost Customers
12034,11,12,307.86,2015.08,4,3,4,Loyal Customers,2,Lost Customers
12035,36,8,98.56,197.12,2,1,1,Lost Customers,1,Lost Customers
12036,79,6,122.98,112.08,1,1,2,Lost Customers,1,Lost Customers
12038,24,29,328.98,986.94,3,5,4,Loyal Customers,3,Champions
12040,7,22,388.29,3993.84,5,5,5,Champions,3,Champions
12042,61,14,169.12,199.62,1,3,3,At Risk,2,Lost Customers
12046,25,6,80.69,232.39,3,1,1,Lost Customers,1,Lost Customers
12052,22,7,167.73,548.93,3,1,3,Lost Customers,1,Lost Customers
12053,23,7,120.49,377.19,3,1,2,Lost Customers,1,Lost Customers
12054,33,10,177.75,387.82,2,2,3,Lost Customers,2,Lost Customers
12055,1,13,156.43,11262.96,5,3,3,Loyal Customers,0,Potential Loyalists
12060,8,16,250.43,2253.87,4,4,4,Champions,0,Potential Loyalists
12064,4,11,323.23,5818.14,5,2,4,Potential Loyalists,0,Potential Loyalists
12066,22,16,172.28,563.83,3,4,3,Loyal Customers,2,Lost Customers
12067,37,8,363.55,707.45,2,1,5,Lost Customers,2,Lost Customers
12072,5,17,102.37,1474.13,5,4,1,Loyal Customers,0,Potential Loyalists
12074,8,25,272.91,2456.19,4,5,4,Champions,3,Champions
12077,28,10,60.92,156.65,2,2,1,Lost Customers,1,Lost Customers
12078,1,10,94.97,6837.84,5,2,1,Potential Loyalists,0,Potential Loyalists
12089,52,8,131.31,181.81,1,1,2,Lost Customers,1,Lost Customers
12094,1,29,886.54,63830.88,5,5,5,Champions,3,Champions
12097,67,10,61.12,65.68,1,2,1,Lost Customers,1,Lost Customers
